Food,l_class,NA,K,CA,MG,P,FE,ZN,CU,MN
こめ　［うるち米製品］　アルファ化米　一般用,1.0,5.0,37.0,7.0,14.0,71.0,0.0,2.0,0.0,0.6
こめ　［うるち米製品］　アルファ化米　学校給食用強化品,1.0,5.0,37.0,7.0,14.0,71.0,0.0,2.0,0.0,0.6
こめ　［うるち米製品］　おにぎり,1.0,200.0,31.0,3.0,7.0,37.0,0.0,1.0,0.1,0.0
こめ　［うるち米製品］　焼きおにぎり,1.0,380.0,56.0,5.0,11.0,46.0,0.0,1.0,0.1,0.0
こめ　［うるち米製品］　きりたんぽ,1.0,1.0,36.0,4.0,9.0,43.0,0.0,1.0,0.0,0.4
こめ　［うるち米製品］　上新粉,1.0,2.0,89.0,5.0,23.0,96.0,1.0,1.0,0.0,1.0
こめ　［うるち米製品］　玄米粉,1.0,3.0,230.0,12.0,110.0,290.0,1.0,2.0,0.3,2.0
こめ　［うるち米製品］　米粉,1.0,1.0,45.0,6.0,11.0,62.0,0.0,2.0,0.0,0.6
こめ　［うるち米製品］　米粉パン　食パン,1.0,420.0,57.0,22.0,14.0,61.0,0.8,1.3,0.18,0.54
こめ　［うるち米製品］　米粉パン　ロールパン,1.0,370.0,66.0,26.0,12.0,65.0,0.6,1.2,0.16,0.43
こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,1.0,340.0,92.0,4.0,11.0,46.0,0.0,1.0,0.0,0.0
こめ　［うるち米製品］　米粉めん,1.0,48.0,43.0,5.0,11.0,56.0,0.0,1.0,0.0,0.0
こめ　［うるち米製品］　ビーフン,1.0,2.0,33.0,14.0,13.0,59.0,1.0,1.0,0.0,0.0
こめ　［うるち米製品］　ライスペーパー,1.0,670.0,22.0,21.0,21.0,12.0,1.0,0.0,0.0,0.0
こめ　［うるち米製品］　米こうじ,1.0,3.0,61.0,5.0,16.0,83.0,0.0,1.0,0.0,1.0
こめ　［もち米製品］　もち,1.0,0.0,32.0,3.0,6.0,22.0,0.0,1.0,0.0,1.0
こめ　［もち米製品］　赤飯,1.0,0.0,71.0,6.0,11.0,34.0,0.0,1.0,0.0,0.0
こめ　［もち米製品］　あくまき,1.0,16.0,300.0,6.0,6.0,10.0,0.0,1.0,0.0,0.0
こめ　［もち米製品］　白玉粉,1.0,2.0,3.0,5.0,6.0,45.0,1.0,1.0,0.0,1.0
こめ　［もち米製品］　道明寺粉,1.0,4.0,45.0,6.0,9.0,41.0,0.0,2.0,0.0,0.9
こめ　［その他］　米ぬか,1.0,7.0,1500.0,35.0,850.0,2000.0,8.0,6.0,0.0,15.0
そば　そば粉　全層粉,1.0,2.0,410.0,17.0,190.0,400.0,3.0,2.0,1.0,1.0
そば　そば粉　内層粉,1.0,1.0,190.0,10.0,83.0,130.0,2.0,1.0,0.0,0.0
そば　そば粉　中層粉,1.0,2.0,470.0,19.0,220.0,390.0,3.0,2.0,1.0,1.0
そば　そば粉　表層粉,1.0,2.0,750.0,32.0,340.0,700.0,4.0,5.0,1.0,2.0
そば　そば米,1.0,1.0,390.0,12.0,150.0,260.0,2.0,1.0,0.0,1.0
そば　そば　生,1.0,1.0,160.0,18.0,65.0,170.0,1.0,1.0,0.0,1.0
そば　そば　ゆで,1.0,2.0,34.0,9.0,27.0,80.0,1.0,0.0,0.1,0.0
そば　そば　半生そば,1.0,3.0,190.0,20.0,74.0,180.0,1.3,1.2,0.24,0.99
そば　干しそば　乾,1.0,850.0,260.0,24.0,100.0,230.0,3.0,2.0,0.0,1.0
そば　干しそば　ゆで,1.0,50.0,13.0,12.0,33.0,72.0,1.0,0.0,0.1,0.0
とうもろこし　玄穀　黄色種,1.0,3.0,290.0,5.0,75.0,270.0,2.0,2.0,0.0,0.0
とうもろこし　玄穀　白色種,1.0,3.0,290.0,5.0,75.0,270.0,2.0,2.0,0.0,0.0
とうもろこし　コーンミール　黄色種,1.0,2.0,220.0,5.0,99.0,130.0,2.0,1.0,0.0,0.0
とうもろこし　コーンミール　白色種,1.0,2.0,220.0,5.0,99.0,130.0,2.0,1.0,0.0,0.0
とうもろこし　コーングリッツ　黄色種,1.0,1.0,160.0,2.0,21.0,50.0,0.0,0.0,0.0,0.0
とうもろこし　コーングリッツ　白色種,1.0,1.0,160.0,2.0,21.0,50.0,0.0,0.0,0.0,0.0
とうもろこし　コーンフラワー　黄色種,1.0,1.0,200.0,3.0,31.0,90.0,1.0,1.0,0.0,0.0
とうもろこし　コーンフラワー　白色種,1.0,1.0,200.0,3.0,31.0,90.0,1.0,1.0,0.0,0.0
とうもろこし　ジャイアントコーン　フライ　味付け,1.0,430.0,110.0,8.0,88.0,180.0,1.0,2.0,0.0,0.3
とうもろこし　ポップコーン,1.0,570.0,300.0,7.0,95.0,290.0,4.0,2.0,0.2,0.0
とうもろこし　コーンフレーク,1.0,830.0,95.0,1.0,14.0,45.0,1.0,0.0,0.0,0.0
はとむぎ　精白粒,1.0,1.0,85.0,6.0,12.0,20.0,0.0,0.0,0.0,1.0
ひえ　精白粒,1.0,6.0,240.0,7.0,58.0,280.0,2.0,2.0,0.0,1.0
もろこし　玄穀,1.0,2.0,590.0,16.0,160.0,430.0,3.0,3.0,0.0,2.0
もろこし　精白粒,1.0,2.0,410.0,14.0,110.0,290.0,2.0,1.0,0.0,1.0
ライむぎ　全粒粉,1.0,1.0,400.0,31.0,100.0,290.0,4.0,4.0,0.0,2.0
ライむぎ　ライ麦粉,1.0,1.0,140.0,25.0,30.0,140.0,2.0,1.0,0.0,0.0
＜いも類＞　アメリカほどいも　塊根　生,2.0,5.0,650.0,73.0,39.0,120.0,1.0,1.0,0.0,0.0
＜いも類＞　アメリカほどいも　塊根　ゆで,2.0,5.0,650.0,78.0,42.0,120.0,1.0,1.0,0.0,0.0
＜いも類＞　きくいも　塊茎　生,2.0,1.0,610.0,14.0,16.0,66.0,0.0,0.0,0.0,0.0
＜いも類＞　きくいも　塊茎　水煮,2.0,1.0,470.0,13.0,13.0,56.0,0.0,0.0,0.0,0.0
＜いも類＞　こんにゃく　精粉,2.0,18.0,3000.0,57.0,70.0,160.0,2.0,2.0,0.0,0.0
＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,2.0,10.0,33.0,43.0,2.0,5.0,0.0,0.0,0.0,0.0
＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,2.0,2.0,44.0,68.0,5.0,7.0,1.0,0.0,0.0,0.0
＜いも類＞　こんにゃく　赤こんにゃく,2.0,11.0,48.0,46.0,3.0,5.0,78.0,0.0,0.0,0.0
＜いも類＞　こんにゃく　凍みこんにゃく　乾,2.0,52.0,950.0,1600.0,110.0,150.0,12.0,4.0,1.0,1.0
＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,2.0,11.0,210.0,340.0,23.0,32.0,3.0,1.0,0.0,0.0
＜いも類＞　こんにゃく　しらたき,2.0,10.0,12.0,75.0,4.0,10.0,1.0,0.0,0.0,0.0
