Food,l_class,NA,K,CA,MG,P,FE,ZN,CU,MN
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生,2.0,23.0,380.0,40.0,24.0,46.0,1.0,0.0,0.0,0.0
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し,2.0,22.0,390.0,40.0,23.0,47.0,1.0,0.0,0.0,0.0
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　天ぷら,2.0,36.0,380.0,51.0,25.0,57.0,1.0,0.0,0.0,1.0
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,2.0,11.0,480.0,36.0,24.0,47.0,1.0,0.0,0.0,0.0
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し,2.0,11.0,480.0,36.0,24.0,47.0,1.0,0.0,0.0,0.0
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,2.0,13.0,540.0,34.0,23.0,55.0,1.0,0.0,0.2,0.0
＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,2.0,18.0,980.0,53.0,45.0,93.0,2.0,1.0,0.3,0.4
＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生,2.0,30.0,370.0,24.0,26.0,56.0,1.0,0.0,0.0,0.5
＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,2.0,28.0,420.0,34.0,26.0,55.0,1.0,0.0,0.0,0.0
＜いも類＞　（さといも類）　さといも　球茎　生,2.0,0.0,640.0,10.0,19.0,55.0,1.0,0.0,0.0,0.0
＜いも類＞　（さといも類）　さといも　球茎　水煮,2.0,1.0,560.0,14.0,17.0,47.0,0.0,0.0,0.0,0.0
＜いも類＞　（さといも類）　さといも　球茎　冷凍,2.0,3.0,340.0,20.0,20.0,53.0,1.0,0.0,0.0,1.0
＜いも類＞　（さといも類）　セレベス　球茎　生,2.0,0.0,660.0,18.0,29.0,97.0,1.0,1.0,0.0,0.0
＜いも類＞　（さといも類）　セレベス　球茎　水煮,2.0,0.0,510.0,17.0,24.0,82.0,1.0,1.0,0.0,0.0
＜いも類＞　（さといも類）　たけのこいも　球茎　生,2.0,1.0,520.0,39.0,32.0,70.0,1.0,2.0,0.0,1.0
＜いも類＞　（さといも類）　たけのこいも　球茎　水煮,2.0,1.0,410.0,37.0,28.0,63.0,1.0,2.0,0.0,1.0
＜いも類＞　（さといも類）　みずいも　球茎　生,2.0,6.0,290.0,46.0,23.0,35.0,1.0,0.0,0.0,1.0
＜いも類＞　（さといも類）　みずいも　球茎　水煮,2.0,5.0,270.0,79.0,23.0,35.0,1.0,0.0,0.0,0.0
＜いも類＞　（さといも類）　やつがしら　球茎　生,2.0,1.0,630.0,39.0,42.0,72.0,1.0,1.0,0.0,1.3
＜いも類＞　（さといも類）　やつがしら　球茎　水煮,2.0,1.0,520.0,34.0,39.0,56.0,1.0,1.0,0.0,1.0
＜いも類＞　じゃがいも　塊茎　皮つき　生,2.0,1.0,420.0,4.0,19.0,46.0,1.0,0.0,0.0,0.0
＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,2.0,0.0,430.0,4.0,23.0,58.0,1.0,0.0,0.0,0.0
＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）,2.0,1.0,580.0,6.0,29.0,78.0,2.0,0.0,0.0,1.0
＜いも類＞　じゃがいも　塊茎　皮なし　生,2.0,1.0,410.0,4.0,19.0,47.0,0.0,0.0,0.0,0.0
＜いも類＞　じゃがいも　塊茎　皮なし　水煮,2.0,1.0,340.0,4.0,16.0,32.0,1.0,0.0,0.1,0.1
＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,2.0,1.0,420.0,5.0,24.0,38.0,1.0,0.0,0.0,0.0
＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,2.0,1.0,430.0,4.0,20.0,47.0,0.0,0.0,0.1,0.4
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）,2.0,1.0,570.0,5.0,29.0,78.0,1.0,0.0,0.0,0.0
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）,2.0,2.0,660.0,4.0,35.0,48.0,1.0,0.0,0.0,0.0
＜いも類＞　じゃがいも　乾燥マッシュポテト,2.0,75.0,1200.0,24.0,71.0,150.0,3.0,1.0,0.0,1.0
＜いも類＞　ヤーコン　塊根　生,2.0,0.0,240.0,11.0,8.0,31.0,0.0,0.0,0.0,0.0
＜いも類＞　ヤーコン　塊根　水煮,2.0,0.0,190.0,11.0,7.0,26.0,0.0,0.0,0.0,0.0
＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生,2.0,5.0,590.0,12.0,19.0,65.0,1.0,0.0,0.2,0.0
＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,2.0,3.0,430.0,17.0,17.0,27.0,0.0,0.0,0.1,0.0
＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　水煮,2.0,3.0,430.0,15.0,16.0,26.0,0.0,0.0,0.0,0.0
＜いも類＞　（やまのいも類）　ながいも　やまといも　塊根　生,2.0,12.0,590.0,16.0,28.0,72.0,1.0,1.0,0.0,0.0
＜いも類＞　（やまのいも類）　じねんじょ　塊根　生,2.0,6.0,550.0,10.0,21.0,31.0,1.0,1.0,0.0,0.0
＜いも類＞　（やまのいも類）　だいじょ　塊根　生,2.0,20.0,490.0,14.0,18.0,57.0,1.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉,2.0,1.0,1.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉類）　キャッサバでん粉,2.0,1.0,48.0,28.0,5.0,6.0,0.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉,2.0,2.0,2.0,18.0,3.0,12.0,2.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉類）　米でん粉,2.0,11.0,2.0,29.0,8.0,20.0,2.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉,2.0,3.0,8.0,14.0,5.0,33.0,1.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉,2.0,7.0,1.0,7.0,3.0,9.0,2.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉類）　さつまいもでん粉,2.0,1.0,4.0,50.0,4.0,8.0,3.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,2.0,2.0,34.0,10.0,6.0,40.0,1.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,2.0,1.0,5.0,3.0,4.0,13.0,0.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　乾,2.0,4.0,3.0,19.0,4.0,18.0,1.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　ゆで,2.0,2.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　ごま豆腐,2.0,0.0,32.0,6.0,27.0,69.0,1.0,0.0,0.0,0.1
＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　乾,2.0,5.0,12.0,24.0,3.0,8.0,1.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　ゆで,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　生,2.0,8.0,3.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾,2.0,32.0,38.0,6.0,5.0,48.0,0.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾　ゆで,2.0,5.0,7.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾,2.0,14.0,13.0,20.0,3.0,10.0,1.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　ゆで,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　乾,2.0,7.0,14.0,41.0,5.0,46.0,0.0,0.0,0.0,0.0
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　ゆで,2.0,1.0,2.0,10.0,1.0,10.0,0.0,0.0,0.0,0.0
（砂糖類）　黒砂糖,3.0,27.0,1100.0,240.0,31.0,31.0,5.0,1.0,0.0,1.0
（砂糖類）　てんさい含蜜糖,3.0,48.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
（砂糖類）　和三盆糖,3.0,1.0,140.0,27.0,17.0,13.0,1.0,0.0,0.0,0.3
（砂糖類）　車糖　上白糖,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
（砂糖類）　車糖　三温糖,3.0,7.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
（砂糖類）　ざらめ糖　グラニュー糖,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
（砂糖類）　ざらめ糖　白ざら糖,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
（砂糖類）　ざらめ糖　中ざら糖,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
（砂糖類）　加工糖　角砂糖,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
（砂糖類）　加工糖　氷砂糖,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
（砂糖類）　加工糖　コーヒーシュガー,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
（砂糖類）　加工糖　粉糖,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
（砂糖類）　液糖　しょ糖型液糖,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
（砂糖類）　液糖　転化型液糖,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
（砂糖類）　氷糖みつ,3.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
（でん粉糖類）　還元麦芽糖,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
（でん粉糖類）　還元水あめ,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
（でん粉糖類）　粉あめ,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
（でん粉糖類）　水あめ　酵素糖化,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
（でん粉糖類）　水あめ　酸糖化,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
（でん粉糖類）　ぶどう糖　全糖,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
（でん粉糖類）　ぶどう糖　含水結晶,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
（でん粉糖類）　ぶどう糖　無水結晶,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
（でん粉糖類）　果糖,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
（でん粉糖類）　異性化液糖　高果糖液糖,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
（その他）　黒蜜,3.0,15.0,620.0,140.0,17.0,17.0,3.0,0.0,0.0,0.0
（その他）　はちみつ,3.0,2.0,65.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0
（その他）　メープルシロップ,3.0,1.0,230.0,75.0,18.0,1.0,0.0,2.0,0.0,2.0
あずき　全粒　乾,4.0,1.0,1300.0,70.0,130.0,350.0,6.0,2.0,1.0,1.0
あずき　全粒　ゆで,4.0,1.0,430.0,27.0,43.0,95.0,2.0,1.0,0.3,0.0
あずき　ゆで小豆缶詰,4.0,90.0,160.0,13.0,36.0,80.0,1.0,0.0,0.0,0.0
あずき　あん　こし生あん,4.0,3.0,60.0,73.0,30.0,85.0,3.0,1.0,0.0,1.0
あずき　あん　さらしあん　（乾燥あん）,4.0,11.0,170.0,58.0,83.0,210.0,7.0,2.0,0.4,1.0
あずき　あん　こし練りあん　（並あん）,4.0,2.0,35.0,42.0,17.0,49.0,1.6,0.6,0.14,0.42
あずき　あん　こし練りあん　（中割りあん）,4.0,2.0,32.0,38.0,16.0,44.0,1.5,0.6,0.12,0.38
あずき　あん　こし練りあん　（もなかあん）,4.0,2.0,32.0,38.0,16.0,44.0,1.5,0.6,0.12,0.38
あずき　あん　つぶし練りあん,4.0,56.0,160.0,19.0,23.0,73.0,2.0,1.0,0.2,0.4
いんげんまめ　全粒　乾,4.0,0.0,1400.0,140.0,150.0,370.0,6.0,3.0,1.0,2.0
いんげんまめ　全粒　ゆで,4.0,0.0,410.0,62.0,46.0,140.0,2.0,1.0,0.0,1.0
いんげんまめ　うずら豆,4.0,110.0,230.0,41.0,25.0,100.0,2.0,1.0,0.0,0.0
いんげんまめ　こし生あん,4.0,9.0,55.0,60.0,45.0,75.0,3.0,1.0,0.0,1.0
いんげんまめ　豆きんとん,4.0,100.0,120.0,28.0,23.0,83.0,1.0,1.0,0.0,0.5
えんどう　全粒　青えんどう　乾,4.0,1.0,870.0,65.0,120.0,360.0,5.0,4.0,0.0,0.0
えんどう　全粒　青えんどう　ゆで,4.0,1.0,260.0,28.0,40.0,65.0,2.0,1.0,0.0,0.0
えんどう　全粒　赤えんどう　乾,4.0,1.0,870.0,65.0,120.0,360.0,5.0,4.0,0.0,0.0
えんどう　全粒　赤えんどう　ゆで,4.0,1.0,260.0,28.0,40.0,65.0,2.0,1.0,0.0,0.0
えんどう　グリンピース（揚げ豆）,4.0,350.0,850.0,88.0,110.0,450.0,5.0,4.0,1.0,0.9
えんどう　塩豆,4.0,610.0,970.0,1300.0,120.0,360.0,6.0,4.0,1.0,1.0
えんどう　うぐいす豆,4.0,150.0,100.0,18.0,26.0,130.0,3.0,1.0,0.0,0.0
ささげ　全粒　乾,4.0,1.0,1400.0,75.0,170.0,400.0,6.0,5.0,1.0,0.0
ささげ　全粒　ゆで,4.0,0.0,400.0,32.0,55.0,150.0,3.0,2.0,0.0,0.0
そらまめ　全粒　乾,4.0,1.0,1100.0,100.0,120.0,440.0,6.0,5.0,1.2,0.0
そらまめ　フライビーンズ,4.0,690.0,710.0,90.0,87.0,440.0,8.0,3.0,1.0,0.0
そらまめ　おたふく豆,4.0,160.0,110.0,54.0,27.0,140.0,5.0,1.0,0.0,0.0
そらまめ　ふき豆,4.0,320.0,110.0,39.0,20.0,150.0,3.0,1.0,0.0,0.0
そらまめ　しょうゆ豆,4.0,460.0,280.0,39.0,38.0,130.0,2.0,1.0,0.0,0.0
だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,4.0,3.0,1700.0,160.0,200.0,600.0,7.0,4.0,1.0,2.0
だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,4.0,1.0,440.0,69.0,66.0,230.0,2.0,2.0,0.0,1.0
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,4.0,1.0,1900.0,180.0,220.0,490.0,7.0,3.0,1.0,2.0
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,4.0,1.0,530.0,79.0,100.0,190.0,2.0,2.0,0.0,1.0
だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,4.0,1.0,1800.0,230.0,230.0,480.0,9.0,5.0,1.0,0.0
だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,4.0,1.0,1800.0,170.0,220.0,460.0,9.0,4.0,1.0,0.0
だいず　［全粒・全粒製品］　全粒　黄大豆　ブラジル産　乾,4.0,2.0,1800.0,250.0,250.0,580.0,9.0,4.0,1.0,3.0
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,4.0,1.0,1800.0,140.0,200.0,620.0,7.0,4.0,1.0,2.0
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　ゆで,4.0,0.0,480.0,55.0,64.0,220.0,3.0,1.0,0.0,1.0
だいず　［全粒・全粒製品］　いり大豆　青大豆,4.0,4.0,2000.0,160.0,250.0,650.0,7.0,4.0,1.0,2.9
だいず　［全粒・全粒製品］　いり大豆　黄大豆,4.0,5.0,2000.0,160.0,240.0,710.0,8.0,4.0,1.0,3.0
だいず　［全粒・全粒製品］　いり大豆　黒大豆,4.0,4.0,2100.0,120.0,220.0,640.0,7.0,4.0,1.0,2.0
だいず　［全粒・全粒製品］　水煮缶詰　黄大豆,4.0,210.0,250.0,100.0,55.0,170.0,2.0,1.0,0.0,1.0
だいず　［全粒・全粒製品］　蒸し大豆　黄大豆,4.0,230.0,810.0,75.0,110.0,290.0,3.0,2.0,1.0,1.0
だいず　［全粒・全粒製品］　きな粉　青大豆　全粒大豆,4.0,1.0,2000.0,160.0,240.0,690.0,8.0,5.0,1.0,3.0
だいず　［全粒・全粒製品］　きな粉　青大豆　脱皮大豆,4.0,1.0,2100.0,190.0,220.0,700.0,7.0,4.0,1.0,3.0
だいず　［全粒・全粒製品］　きな粉　黄大豆　全粒大豆,4.0,1.0,2000.0,190.0,260.0,660.0,8.0,4.0,1.0,3.0
だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆,4.0,2.0,2000.0,180.0,250.0,680.0,6.0,4.0,1.0,2.0
だいず　［全粒・全粒製品］　きな粉（砂糖入り）　青きな粉,4.0,1.0,980.0,80.0,120.0,340.0,3.9,2.3,0.67,1.38
だいず　［全粒・全粒製品］　きな粉（砂糖入り）　きな粉,4.0,1.0,1000.0,97.0,130.0,330.0,4.0,2.0,0.57,1.38
だいず　［全粒・全粒製品］　大豆はいが,4.0,0.0,1400.0,100.0,200.0,720.0,12.0,6.0,1.0,3.0
だいず　［全粒・全粒製品］　ぶどう豆,4.0,620.0,330.0,80.0,60.0,200.0,4.0,1.0,0.0,0.0
だいず　［豆腐・油揚げ類］　木綿豆腐,4.0,9.0,110.0,93.0,57.0,88.0,2.0,1.0,0.0,0.0
だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：塩化マグネシウム）,4.0,21.0,110.0,40.0,76.0,88.0,2.0,1.0,0.0,0.0
だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：硫酸カルシウム）,4.0,3.0,110.0,150.0,34.0,88.0,2.0,1.0,0.0,0.0
だいず　［豆腐・油揚げ類］　絹ごし豆腐,4.0,11.0,150.0,75.0,50.0,68.0,1.0,1.0,0.0,0.0
だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：塩化マグネシウム）,4.0,19.0,150.0,30.0,63.0,68.0,1.0,1.0,0.0,0.0
だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：硫酸カルシウム）,4.0,7.0,150.0,120.0,33.0,68.0,1.0,1.0,0.0,0.0
だいず　［豆腐・油揚げ類］　ソフト豆腐,4.0,7.0,150.0,91.0,32.0,82.0,1.0,1.0,0.0,0.0
だいず　［豆腐・油揚げ類］　充てん豆腐,4.0,10.0,200.0,31.0,68.0,83.0,1.0,1.0,0.0,0.0
だいず　［豆腐・油揚げ類］　沖縄豆腐,4.0,170.0,180.0,120.0,66.0,130.0,2.0,1.0,0.0,1.0
だいず　［豆腐・油揚げ類］　ゆし豆腐,4.0,240.0,210.0,36.0,43.0,71.0,1.0,1.0,0.0,0.3
だいず　［豆腐・油揚げ類］　焼き豆腐,4.0,4.0,90.0,150.0,37.0,110.0,2.0,1.0,0.0,0.6
だいず　［豆腐・油揚げ類］　生揚げ,4.0,3.0,120.0,240.0,55.0,150.0,3.0,1.0,0.0,1.0
だいず　［豆腐・油揚げ類］　油揚げ　生,4.0,4.0,86.0,310.0,150.0,350.0,3.0,3.0,0.0,2.0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生,4.0,2.0,51.0,230.0,110.0,280.0,3.0,2.0,0.0,1.0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで,4.0,0.0,12.0,140.0,59.0,180.0,2.0,1.0,0.0,1.0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き,4.0,4.0,74.0,320.0,150.0,380.0,3.0,3.0,0.0,2.0
だいず　［豆腐・油揚げ類］　油揚げ　甘煮,4.0,460.0,61.0,120.0,51.0,150.0,2.0,1.0,0.0,0.0
だいず　［豆腐・油揚げ類］　がんもどき,4.0,190.0,80.0,270.0,98.0,200.0,4.0,2.0,0.0,1.3
だいず　［豆腐・油揚げ類］　凍り豆腐　乾,4.0,440.0,34.0,630.0,140.0,820.0,8.0,5.0,1.0,4.0
だいず　［豆腐・油揚げ類］　凍り豆腐　水煮,4.0,260.0,3.0,150.0,29.0,180.0,2.0,1.0,0.0,1.0
だいず　［豆腐・油揚げ類］　豆腐よう,4.0,760.0,38.0,160.0,52.0,190.0,2.0,2.0,0.0,1.7
だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し,4.0,740.0,140.0,70.0,65.0,150.0,2.0,1.0,0.0,1.0
だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き,4.0,900.0,150.0,100.0,73.0,170.0,2.0,1.0,0.0,1.0
だいず　［豆腐・油揚げ類］　ろくじょう豆腐,4.0,4300.0,430.0,660.0,110.0,590.0,6.0,5.0,1.0,4.0
だいず　［納豆類］　糸引き納豆,4.0,2.0,660.0,90.0,100.0,190.0,3.0,2.0,1.0,0.0
だいず　［納豆類］　挽きわり納豆,4.0,2.0,700.0,59.0,88.0,250.0,3.0,1.0,0.0,1.0
だいず　［納豆類］　五斗納豆,4.0,2300.0,430.0,49.0,61.0,190.0,2.0,1.0,0.0,1.0
だいず　［納豆類］　寺納豆,4.0,5600.0,1000.0,110.0,140.0,330.0,6.0,4.0,0.8,1.7
だいず　［その他］　おから　生,4.0,5.0,350.0,81.0,40.0,99.0,1.0,1.0,0.0,0.4
だいず　［その他］　おから　乾燥,4.0,19.0,1300.0,310.0,150.0,380.0,5.0,2.0,1.0,2.0
だいず　［その他］　豆乳　豆乳,4.0,2.0,190.0,15.0,25.0,49.0,1.0,0.0,0.0,0.0
だいず　［その他］　豆乳　調製豆乳,4.0,50.0,170.0,31.0,19.0,44.0,1.0,0.0,0.0,0.0
だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー,4.0,42.0,110.0,20.0,13.0,36.0,0.0,0.0,0.0,0.0
だいず　［その他］　大豆たんぱく　粒状大豆たんぱく,4.0,3.0,2400.0,270.0,290.0,730.0,8.0,5.0,1.0,3.0
だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく,4.0,550.0,1300.0,280.0,220.0,750.0,9.0,3.0,1.0,2.0
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ,4.0,1300.0,190.0,57.0,58.0,840.0,9.0,3.0,2.0,1.0
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ,4.0,640.0,260.0,890.0,58.0,840.0,9.0,3.0,2.0,1.0
だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく,4.0,1400.0,270.0,70.0,55.0,630.0,8.0,2.0,1.0,1.0
だいず　［その他］　湯葉　生,4.0,4.0,290.0,90.0,80.0,250.0,4.0,2.0,0.7,0.0
だいず　［その他］　湯葉　干し　乾,4.0,12.0,840.0,210.0,220.0,600.0,8.0,5.0,3.0,3.0
だいず　［その他］　湯葉　干し　湯戻し,4.0,2.0,140.0,66.0,60.0,170.0,3.0,2.0,1.0,1.0
だいず　［その他］　金山寺みそ,4.0,2000.0,190.0,33.0,54.0,130.0,2.0,1.0,0.0,1.0
だいず　［その他］　ひしおみそ,4.0,1900.0,340.0,56.0,56.0,120.0,2.0,1.0,0.0,1.0
だいず　［その他］　テンペ,4.0,2.0,730.0,70.0,95.0,250.0,2.0,2.0,1.0,0.8
つるあずき　全粒　乾,4.0,1.0,1400.0,280.0,230.0,320.0,11.0,3.0,1.0,3.0
つるあずき　全粒　ゆで,4.0,0.0,370.0,130.0,77.0,120.0,3.0,1.0,0.3,1.0
ひよこまめ　全粒　乾,4.0,17.0,1200.0,100.0,140.0,270.0,3.0,3.0,1.0,0.0
ひよこまめ　全粒　ゆで,4.0,5.0,350.0,45.0,51.0,120.0,1.0,2.0,0.0,1.1
ひよこまめ　全粒　フライ　味付け,4.0,700.0,690.0,73.0,110.0,370.0,4.0,3.0,1.0,2.2
べにばないんげん　全粒　乾,4.0,1.0,1700.0,78.0,190.0,430.0,5.0,3.0,1.0,1.5
べにばないんげん　全粒　ゆで,4.0,1.0,440.0,28.0,50.0,140.0,2.0,1.0,0.0,1.0
やぶまめ　乾,4.0,5.0,1700.0,55.0,63.0,230.0,2.0,1.0,0.0,1.0
らいまめ　全粒　乾,4.0,0.0,1800.0,78.0,170.0,250.0,6.0,3.0,0.7,2.0
らいまめ　全粒　ゆで,4.0,0.0,490.0,27.0,52.0,95.0,2.0,1.0,0.0,1.0
りょくとう　全粒　乾,4.0,0.0,1300.0,100.0,150.0,320.0,6.0,4.0,1.0,0.0
りょくとう　全粒　ゆで,4.0,1.0,320.0,32.0,39.0,75.0,2.0,1.0,0.0,0.0
レンズまめ　全粒　乾,4.0,0.0,1000.0,57.0,100.0,430.0,9.0,5.0,1.0,2.0
レンズまめ　全粒　ゆで,4.0,0.0,330.0,27.0,44.0,190.0,4.0,3.0,0.0,1.0
アーモンド　乾,5.0,1.0,760.0,250.0,290.0,460.0,4.0,4.0,1.0,2.0
アーモンド　フライ　味付け,5.0,100.0,760.0,240.0,270.0,490.0,4.0,3.0,1.0,2.0
アーモンド　いり　無塩,5.0,0.0,740.0,260.0,310.0,480.0,4.0,4.0,1.0,2.0
あさ　乾,5.0,2.0,340.0,130.0,400.0,1100.0,13.0,6.0,1.0,10.0
あまに　いり,5.0,70.0,760.0,210.0,410.0,710.0,9.0,6.0,1.0,3.0
えごま　乾,5.0,2.0,590.0,390.0,230.0,550.0,16.0,4.0,2.0,3.0
カシューナッツ　フライ　味付け,5.0,220.0,590.0,38.0,240.0,490.0,5.0,5.0,2.0,0.0
かぼちゃ　いり　味付け,5.0,47.0,840.0,44.0,530.0,1100.0,7.0,8.0,1.0,4.0
かや　いり,5.0,6.0,470.0,58.0,200.0,300.0,3.0,4.0,1.0,3.0
ぎんなん　生,5.0,0.0,710.0,5.0,48.0,120.0,1.0,0.0,0.0,0.0
ぎんなん　ゆで,5.0,1.0,580.0,5.0,45.0,96.0,1.0,0.0,0.0,0.0
（くり類）　日本ぐり　生,5.0,1.0,420.0,23.0,40.0,70.0,1.0,1.0,0.0,3.0
（くり類）　日本ぐり　ゆで,5.0,1.0,460.0,23.0,45.0,72.0,1.0,1.0,0.0,1.0
（くり類）　日本ぐり　甘露煮,5.0,7.0,75.0,8.0,8.0,25.0,1.0,0.0,0.0,1.0
（くり類）　中国ぐり　甘ぐり,5.0,2.0,560.0,30.0,71.0,110.0,2.0,1.0,1.0,2.0
くるみ　いり,5.0,4.0,540.0,85.0,150.0,280.0,3.0,3.0,1.0,3.0
