NO,Food,l_class,REFUSE,ENERC,ENERC_KCAL,WATER,PROTCAA,PROT-,FATNLEA,CHOLE,FAT-,CHOAVLM,CHOAVL,CHOAVLDF-,FIB-,POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB,TOCPHG,TOCPHD,VITK ,THIA,RIBF,NIA,NE,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,ALC,NACL_EQ
518,（かぼちゃ類）　西洋かぼちゃ　果実　ゆで,6,0,338,80,76,-1,2,-0.2,0,0,-17.4,-16.2,18,4,-,21,0,1,1,430,14,24,43,1,0,0,0,-,-,-,-,0,18,3900,90,4000,330,0,5,0,1,0,22,0,0,2,-1.8,0,0,38,1,-,32,-,0
519,（かぼちゃ類）　西洋かぼちゃ　果実　焼き,6,0,445,105,68,-1.5,3,-0.2,0,0,-22.8,-21.3,23,5,-,28,1,1,0,570,19,31,55,1,0,0,0,-,-,-,-,0,26,5400,130,5500,450,0,7,0,2,0,0,0,0,2,-2.5,0,0,58,1,-,44,-,0
520,（かぼちゃ類）　西洋かぼちゃ　果実　冷凍,6,0,317,75,78,-1.3,2,-0.2,0,0,-15.7,-14.6,15,4,-,19,0,1,3,430,25,26,46,1,1,0,0,-,-,-,-,0,0,3700,57,3800,310,0,4,0,1,0,17,0,0,1,-1.7,0,0,48,0,-,34,-,0
521,（かぼちゃ類）　そうめんかぼちゃ　果実　生,6,30,105,25,92,-0.5,1,-0.1,0,0,-,-,5,2,-,6,-,1,1,260,27,16,35,0,0,0,0,-,-,-,-,0,0,49,0,49,4,0,0,0,Tr,0,Tr,0,0,1,-0.7,0.1,0,25,0,-,11,-,0
522,からしな　葉　生,6,0,106,26,90,3,3,-,0,0,-,-,2,4,-,5,-,1,60,620,140,21,72,2,1,0,1,-,-,-,-,0,0,2800,0,2800,230,0,3,0,0,0,260,0,0,1,2,0,0,310,0,-,64,-,0
523,からしな　塩漬,6,0,149,36,85,-3.3,4,-,0,0,-,-,3,5,-,7,-,4,970,530,150,23,71,2,1,0.1,1,-,-,-,-,0,0,3000,0,3000,250,0,3,0,0,0,270,0,0,1,-1.8,0,0,210,0,-,80,-,3
524,カリフラワー　花序　生,6,50,117,28,91,2,3,-0.1,0,0,3,3,3,3,-,5,0,1,8,410,24,18,68,1,1,0,0,0,0,0,4,0,0,18,0,18,2,0,0,0,0,0,17,0,0,1,1,0,0,94,1.3,9,81,-,0
525,カリフラワー　花序　ゆで,6,0,111,26,92,-1.9,3,-0.1,0,0,-3,-2.9,2,3,-,5,0,1,8,220,23,13,37,1,0,0,0,-,-,-,-,0,0,16,0,16,1,0,0,0,0,0,31,0,0,0,-0.7,0,0,88,1,-,53,-,0
526,かんぴょう　乾,6,0,1002,239,20,4,6,-,0,0,33,33,40,30,-,68,-,5,3,1800,250,110,140,3,2,1,1.6,2,2,5,13,0,0,0,0,0,0,0,0,Tr,0,0,Tr,0,0,3,3,0,0,99,2,8,0,-,0
527,かんぴょう　ゆで,6,0,87,21,92,-0.5,1,-,0,0,-3.5,-3.5,2,5,-,7,-,0,1,100,34,10,16,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,0,0,7,0,-,0,-,0
528,かんぴょう　甘煮,6,0,619,146,58,2,2,-,0,0,27,26,31,6,-,37,-,3,1200,90,44,21,34,1,0,0,0,8,2,2,8,0,0,0,0,0,0,0,Tr,0,0,0,0,0,-,0,0,0,Tr,10,0,2,0,-,3
529,きく　花びら　生,6,15,104,25,92,-1.2,1,-,0,0,-,-,3,3,-,7,-,1,2,280,22,12,28,1,0,0,0,-,-,-,-,0,0,67,0,67,6,0,5,0,0,0,11,0.1,0,1,-0.9,0,0,73,0.2,-,11,-,0
530,きく　花びら　ゆで,6,0,88,21,93,-0.8,1,-,0,0,-,-,3,3,-,6,-,0,1,140,16,9,20,1,0,0,0,-,-,-,-,0,0,61,0,61,5,0,4,0,0,0,10,0,0,0,-0.5,0,0,40,0,-,5,-,0
531,きく　菊のり,6,0,1188,283,10,-9.5,12,-,0,0,-,-,46,30,-,74,-,5,14,2500,160,140,250,11,2,1,1,-,-,-,-,0,0,180,0,180,15,0,25,1,1,0,62,1,1,4,-7.2,1,0,370,1.5,-,10,-,0
532,（キャベツ類）　キャベツ　結球葉　生,6,15,90,21,93,1,1,0,0,0,4,4,4,2,-,5,0,1,5,200,43,14,27,0,0,0,0,0,Tr,1,4,0,0,49,1,50,4,0,0,0,0,0,78,0,0,0,0,0,0,78,0,2,41,-,0
